,tgroup,key,value,description,embedding
443,,cash_withdrawal,,Describes whether you can withdraw cash in a shop or amenity at checkout or not.,"tensor([ 0.0157,  0.0008, -0.0143,  ...,  0.0181, -0.0373,  0.0476])"
452,restrictions,change,,Specify the allowed/forbidden lane changes,"tensor([ 0.0309, -0.0434, -0.0309,  ...,  0.0375, -0.0548,  0.0504])"
454,amenities,changing_table,,Provides a surface for changing the nappy (diaper) of an infant or young child.,"tensor([ 0.0213,  0.0067, -0.0202,  ...,  0.0359, -0.0233,  0.0614])"
458,properties,charge,,How much is charged for use of or access to a facility.,"tensor([ 0.0174,  0.0268, -0.0239,  ..., -0.0096, -0.0190,  0.0273])"
463,,check_date:*,,,"tensor([ 0.0178, -0.0171, -0.0134,  ...,  0.0116, -0.0213,  0.0367])"
473,,class,,,"tensor([ 0.0042,  0.0138, -0.0123,  ...,  0.0119, -0.0421,  0.0553])"
474,bicycles,class:bicycle,,Subjective classification of desirable or undesirable bicycle routes,"tensor([ 0.0182, -0.0050, -0.0321,  ..., -0.0089, -0.0574,  0.0479])"
503,,communication:*,,,"tensor([-0.0070,  0.0004, -0.0305,  ...,  0.0242, -0.0398,  0.0512])"
504,communications,communication:amateur_radio,,Amateur Radio (ham radio),"tensor([ 0.0052,  0.0249, -0.0014,  ...,  0.0034, -0.0625,  0.0710])"
508,communications,communication:amateur_radio:repeater,,Amateur radio repeater,"tensor([ 0.0078,  0.0294, -0.0414,  ...,  0.0119, -0.0626,  0.0493])"
530,amenities,community_centre,,To describe the type of a community centre.,"tensor([ 0.0423,  0.0165, -0.0070,  ...,  0.0125, -0.0126,  0.0536])"
544,,construction:*,,,"tensor([ 0.0193,  0.0179, -0.0512,  ...,  0.0060, -0.0217,  0.0683])"
552,,contact:*,,,"tensor([ 0.0123, -0.0231,  0.0039,  ...,  0.0338, -0.0178,  0.0389])"
580,properties,couplings,,For specifying the number of places on a fire hydrant or dry riser inlet where a hose can connect.,"tensor([ 0.0438, -0.0010, -0.0431,  ...,  0.0133, -0.0316,  0.0381])"
591,crossings,crossing,,Further refinement for nodes already tagged with tag:highway=crossing or tag:railway=crossing,"tensor([ 0.0046, -0.0151, -0.0377,  ..., -0.0066, -0.0346,  0.0662])"
623,barriers,cycle_barrier,,Classification of types / designs of cycle barriers,"tensor([ 0.0338, -0.0161, -0.0190,  ...,  0.0104, -0.0446,  0.0497])"
630,cycleways,cycleway,,Determines whether there are or what kind of cycle lanes or tracks provided within the carriageway or next to it.,"tensor([ 0.0265, -0.0151,  0.0064,  ...,  0.0005, -0.0578,  0.0625])"
631,cycleways,cycleway:both,,"Determines whether there are or what kind of cycle lanes or tracks provided within the carriageway or next to it, the same in both directions.","tensor([ 4.9269e-02,  8.7965e-04,  3.3050e-03,  ...,  3.8925e-05,
        -4.0076e-02,  7.6533e-02])"
635,,cycleway:left,,"Determines whether there are or what kind of cycle lanes or tracks provided within the carriageway or next to it, only on one side of the road.","tensor([ 0.0314, -0.0097,  0.0028,  ..., -0.0080, -0.0472,  0.0827])"
636,,cycleway:right,,"Determines whether there are or what kind of cycle lanes or tracks provided within the carriageway or next to it, only on one side of the road.","tensor([ 0.0223, -0.0095, -0.0016,  ...,  0.0006, -0.0534,  0.0709])"
643,,damage:*,,,"tensor([ 0.0092, -0.0015, -0.0512,  ...,  0.0444, -0.0301,  0.0375])"
661,,delivery:*,,,"tensor([ 0.0291, -0.0097, -0.0317,  ...,  0.0239, -0.0049,  0.0681])"
665,,delivery_point,,Clarifies whether an addressed location is used as a mail delivery point,"tensor([-0.0028,  0.0171, -0.0046,  ...,  0.0323,  0.0039,  0.0551])"
668,,demolished:*,,,"tensor([ 0.0265, -0.0186, -0.0381,  ...,  0.0301, -0.0232,  0.0255])"
677,properties,depth,,"The depth of a feature, in metres.","tensor([ 0.0066, -0.0091,  0.0232,  ...,  0.0068, -0.0093,  0.0559])"
679,annotations,description,,To provide additional information about the related element to the end map user.,"tensor([ 0.0292,  0.0110, -0.0195,  ..., -0.0092, -0.0068,  0.0571])"
684,properties,destination,,Destination when following a linear feature.,"tensor([ 0.0163, -0.0189, -0.0220,  ..., -0.0158, -0.0404,  0.0315])"
685,properties,destination:arrow,,Directions of arrows on destination signs,"tensor([ 0.0466, -0.0291, -0.0144,  ..., -0.0574, -0.0421,  0.0278])"
686,properties,destination:colour,,Colour associated with the destinations on destination signs.,"tensor([ 0.0361, -0.0211, -0.0364,  ..., -0.0340, -0.0168,  0.0145])"
687,,destination:ref,,Destination route number according to guide signs.,"tensor([ 0.0028, -0.0292, -0.0280,  ..., -0.0222, -0.0424,  0.0463])"
688,properties,destination:symbol,,"Indicates that a special symbol or icon is present on a signpost, visible as road marking or similar.","tensor([ 0.0225, -0.0071, -0.0339,  ..., -0.0236, -0.0311,  0.0358])"
691,,destroyed:*,,,"tensor([ 0.0188, -0.0170, -0.0330,  ...,  0.0257, -0.0273,  0.0336])"
701,,diet:*,,,"tensor([ 0.0072,  0.0020, -0.0268,  ...,  0.0215, -0.0410,  0.0641])"
712,diplomacy,diplomatic:services,,"Specifies the services provided by an embassy, consulate or other diplomatic office","tensor([-0.0074, -0.0150, -0.0263,  ...,  0.0225, -0.0270,  0.0319])"
728,,dist,,The distance of the hole on a golf course,"tensor([-0.0083, -0.0459, -0.0285,  ..., -0.0013, -0.0086,  0.0769])"
732,,disused:*,,,"tensor([ 0.0391, -0.0195, -0.0325,  ...,  0.0351, -0.0539,  0.0418])"
747,,dog,,Describes if dogs are allowed,"tensor([ 0.0339, -0.0097, -0.0144,  ...,  0.0197, -0.0325,  0.0339])"
752,properties,door,,Specifies the type of a door,"tensor([ 0.0146,  0.0251, -0.0195,  ...,  0.0282, -0.0083,  0.0572])"
762,,drink:*,,,"tensor([ 0.0432, -0.0315, -0.0100,  ..., -0.0085, -0.0180,  0.0596])"
775,,drinking_water,,Indication whether a feature provides drinking water.,"tensor([ 0.0364, -0.0224,  0.0076,  ..., -0.0182, -0.0291,  0.0623])"
781,,drive_through:*,,,"tensor([ 0.0163,  0.0015, -0.0235,  ...,  0.0019, -0.0306,  0.0553])"
813,,embankment,,"A dyke or raised bank to carry a road, railway, or canal across a low-lying or wet area.","tensor([ 0.0146,  0.0381, -0.0308,  ..., -0.0135, -0.0490,  0.0630])"
820,,emergency:*,,,"tensor([ 0.0146, -0.0092, -0.0267,  ...,  0.0156, -0.0375,  0.0716])"
874,properties,fee,,"Yes or no, to indicate if money is charged to use this facility.","tensor([ 4.7949e-03,  5.8556e-03, -1.3234e-02,  ...,  8.4746e-05,
        -4.3050e-02,  3.3343e-02])"
897,,fire_hydrant:*,,,"tensor([ 0.0238, -0.0171, -0.0255,  ..., -0.0133, -0.0327,  0.0564])"
917,,fixme,,Description of a (possible) error in the map.,"tensor([ 0.0383,  0.0329, -0.0192,  ..., -0.0211, -0.0343,  0.0666])"
919,names,flag,,A flag at a bus stop.,"tensor([ 0.0122, -0.0231, -0.0305,  ...,  0.0211, -0.0330,  0.0698])"
936,restrictions,foot,,Access permission for pedestrians,"tensor([ 4.9635e-03,  3.6405e-05,  7.2742e-04,  ...,  2.1862e-02,
        -5.4925e-02,  5.9288e-02])"
940,highways,footway,,Further refinement of footways,"tensor([ 0.0338, -0.0242,  0.0036,  ...,  0.0055, -0.0479,  0.0801])"
957,,fuel:*,,,"tensor([ 0.0153, -0.0359, -0.0234,  ..., -0.0051, -0.0182,  0.0483])"
981,,generator:output:*,,,"tensor([ 0.0136, -0.0438, -0.0419,  ..., -0.0004, -0.0181,  0.0399])"
989,natural,genus,,The scientific name of the genus for a living or fossil organism.,"tensor([ 0.0297,  0.0037, -0.0280,  ...,  0.0567, -0.0227,  0.0410])"
1020,sports,golf,,To map the details on a golf course,"tensor([ 0.0088, -0.0239,  0.0170,  ..., -0.0073, -0.0257,  0.0871])"
1053,tourism,guidepost,,To depict what kind of tag:information=guidepost it is.,"tensor([ 0.0053,  0.0020, -0.0208,  ...,  0.0016, -0.0473,  0.0743])"
1065,properties,handrail,,Defines whether there is at least one handrail.,"tensor([ 0.0219, -0.0407, -0.0212,  ..., -0.0106, -0.0483,  0.0649])"
1071,hazards,hazard,,A hazardous or dangerous feature.,"tensor([ 0.0413, -0.0301, -0.0207,  ...,  0.0041, -0.0399,  0.0421])"
1085,,health_service:*,,,"tensor([ 0.0249, -0.0311, -0.0450,  ...,  0.0048, -0.0271,  0.0453])"
1088,,health_specialty:*,,,"tensor([ 0.0248, -0.0278, -0.0414,  ...,  0.0053, -0.0418,  0.0518])"
1089,health,healthcare,,A healthcare facility.,"tensor([ 0.0362,  0.0070, -0.0349,  ..., -0.0041, -0.0249,  0.0418])"
1099,,heritage,,Site/building/object registered by an official heritage organisation,"tensor([ 0.0502, -0.0202, -0.0244,  ...,  0.0110, -0.0449,  0.0313])"
1103,restrictions,hgv,,Access permission for heavy goods vehicle; in most countries goods vehicles with a permissible maximum mass over 3.5 tonnes,"tensor([ 0.0106, -0.0139,  0.0143,  ..., -0.0134, -0.0409,  0.0498])"
1113,properties,highway:category,,"Specifies road standard in Russia, Kazakhstan and some other CIS countries.","tensor([ 0.0223, -0.0130,  0.0011,  ..., -0.0058, -0.0410,  0.0590])"
1120,historic,historic,,Used for describing various historic features.,"tensor([ 0.0145, -0.0242, -0.0336,  ...,  0.0118, -0.0079,  0.0652])"
1137,restrictions,hov,,Indicates access for high occupancy vehicles.,"tensor([ 0.0155, -0.0322,  0.0236,  ..., -0.0039, -0.0275,  0.0379])"
1159,properties,incline,,Incline steepness,"tensor([ 0.0126,  0.0231, -0.0109,  ..., -0.0233, -0.0395,  0.0665])"
1173,annotations,inscription,,Text which is written on an object.,"tensor([ 0.0315,  0.0165, -0.0363,  ...,  0.0251, -0.0200,  0.0436])"
1177,properties,internet_access,,Indicates if an object offers internet access. The access can be with given computers or WLAN access. The only limitation is that the internet access has to be public.,"tensor([ 0.0136,  0.0039, -0.0236,  ...,  0.0173, -0.0330,  0.0552])"
1186,boundaries,is_in,,The is_in tag is used to index where a place or feature is.,"tensor([ 0.0565, -0.0093, -0.0064,  ...,  0.0179, -0.0381,  0.0777])"
1201,highways,junction,,Describing the kind of a junction.,"tensor([ 0.0372, -0.0384,  0.0009,  ..., -0.0183, -0.0493,  0.0806])"
1212,highways,kerb,,Used to indicate height and thus accessibility of a kerb.,"tensor([ 0.0065,  0.0085, -0.0120,  ...,  0.0051, -0.0286,  0.0631])"
1252,highways,lanes,,Total number of traffic lanes available for motorised traffic.,"tensor([ 0.0168,  0.0061, -0.0175,  ..., -0.0131, -0.0438,  0.0270])"
1255,properties,lanes:psv,,"Total number of lanes marked on the way as reserved for Public Service Vehicles (buses, taxis etc.)","tensor([ 0.0281, -0.0199, -0.0411,  ..., -0.0071, -0.0593,  0.0126])"
1256,,language:*,,,"tensor([ 0.0113, -0.0035,  0.0024,  ..., -0.0187, -0.0191,  0.0448])"
1260,properties,layer,,Used to mark the vertical relationship between two intersecting features.,"tensor([ 0.0029, -0.0359, -0.0177,  ..., -0.0155, -0.0072,  0.0608])"
1269,buildings,level,,Zero-based floor number of a feature (where 0 is the ground level and -1 is the basement).,"tensor([ 0.0042,  0.0046, -0.0198,  ...,  0.0238, -0.0307,  0.0656])"
1272,properties,lgbtq,,Indicates the level of LGBTQ+-friendliness of a feature.,"tensor([ 0.0145, -0.0221, -0.0225,  ...,  0.0202,  0.0059,  0.0157])"
1317,,locked,,"Used to mark a gate, barrier or other feature as locked and not.","tensor([-0.0102,  0.0099, -0.0045,  ...,  0.0329, -0.0239,  0.0205])"
1329,,lunch:*,,,"tensor([ 0.0100, -0.0252, -0.0480,  ...,  0.0069, -0.0405,  0.0356])"
1342,properties,manufacturer,,Manufacturer of an object,"tensor([ 0.0151, -0.0296, -0.0343,  ...,  0.0075, -0.0094,  0.0350])"
1348,,mapillary,,Reference code for a Mapillary image,"tensor([ 0.0150,  0.0040,  0.0092,  ..., -0.0168, -0.0412,  0.0707])"
1373,restrictions,maxheight,,The legal maximum height.,"tensor([-0.0206,  0.0292, -0.0172,  ...,  0.0011, -0.0408,  0.0484])"
1380,restrictions,maxspeed,,"Specifies the maximum legal speed limit on a road, railway or waterway.","tensor([ 0.0301,  0.0091, -0.0154,  ..., -0.0217, -0.0302,  0.0431])"
1388,restrictions,maxspeed:hgv,,Specifies the maximum legal speed limit applying to heavy goods vehicles,"tensor([ 0.0352, -0.0134, -0.0178,  ..., -0.0424, -0.0267,  0.0412])"
1396,restrictions,maxstay,,Maximum time you are allowed to stay somewhere.,"tensor([ 0.0285,  0.0140, -0.0290,  ...,  0.0146, -0.0427,  0.0467])"
1398,restrictions,maxweight,,Permissible maximum actual weight in metric tonnes (or other explicitly specified unit).,"tensor([-0.0024,  0.0220, -0.0195,  ..., -0.0083, -0.0358,  0.0621])"
1401,restrictions,maxweightrating,,Legal access restriction for vehicles with a max allowed weight above the specified weight in metric tonnes.,"tensor([ 0.0052,  0.0134,  0.0065,  ...,  0.0045, -0.0378,  0.0704])"
1403,restrictions,maxwidth,,The legally restricted maximum width of a vehicle,"tensor([ 0.0181,  0.0132, -0.0211,  ..., -0.0193, -0.0500,  0.0575])"
1418,historic,memorial,,Type of a memorial.,"tensor([ 0.0141, -0.0217, -0.0304,  ..., -0.0055, -0.0196,  0.0879])"
1421,historic,memorial:subject,,Subject of memorial.,"tensor([ 0.0103, -0.0049, -0.0085,  ..., -0.0016, -0.0111,  0.0710])"
1439,restrictions,minspeed,,"Specifies the minimum speed limit on a road, railway or waterway. Note that may refer to minimum achievable speed by vehicle or to minimum movement speed at given moment.","tensor([ 0.0189,  0.0092, -0.0096,  ..., -0.0099, -0.0285,  0.0374])"
1447,properties,model,,Model designation of a manufactured object,"tensor([ 0.0213,  0.0003, -0.0047,  ..., -0.0035, -0.0282,  0.0475])"
1474,restrictions,motor_vehicle,,Access permission for motor vehicles,"tensor([-0.0095, -0.0148,  0.0077,  ..., -0.0093, -0.0336,  0.0435])"
1490,shops,motorcycle:type,,,"tensor([ 0.0060, -0.0099,  0.0131,  ..., -0.0086, -0.0568,  0.0916])"
1499,,mtb,,"Used for different types of information for mountain bikes, actual use unclear. Can regard both practical suitability or legal access both for bicycles in general or specifically for mountain bikes. For general legal access use bicycle=* instead","tensor([-0.0054,  0.0002,  0.0019,  ..., -0.0042, -0.0450,  0.0584])"
1501,bicycles,mtb:scale,,A classification scheme for the difficulty of trails for mountainbiking,"tensor([ 0.0007,  0.0196, -0.0192,  ...,  0.0061, -0.0461,  0.0487])"
1510,crafts,musical_instrument,,A tag for showing which instruments are sold or crafted,"tensor([ 0.0352, -0.0225, -0.0393,  ...,  0.0059, -0.0120,  0.0312])"
1516,names,name,,"The primary name: in general, the most prominent signposted name or the most common name in the local language(s).","tensor([-0.0098,  0.0016, -0.0068,  ...,  0.0282, -0.0129,  0.0487])"
1606,names,name:etymology,,The subject commemorated in the name of an element.,"tensor([ 0.0176,  0.0001, -0.0186,  ...,  0.0151,  0.0122,  0.0525])"
1958,properties,network,,"A system of routes (or bicycle rental stations) typically maintained or designated by a single agency or organization, or for bicycle and walking routes, an indication of the scope of the route.","tensor([ 0.0106,  0.0086, -0.0353,  ...,  0.0079, -0.0513,  0.0376])"
1973,,no:*,,,"tensor([ 0.0082, -0.0129, -0.0357,  ...,  0.0306, -0.0202,  0.0441])"
1981,,not:*,,,"tensor([ 0.0321, -0.0445, -0.0182,  ...,  0.0157, -0.0052,  0.0578])"
1983,,not:name,,Incorrect name that should not be mistaken with the feature’s real name in the name key.,"tensor([ 0.0272, -0.0518, -0.0237,  ...,  0.0066, -0.0038,  0.0656])"
1988,,note:*,,,"tensor([ 0.0197, -0.0309, -0.0151,  ...,  0.0113, -0.0406,  0.0646])"
2006,,object:*,,,"tensor([ 0.0312, -0.0147, -0.0181,  ...,  0.0188, -0.0222,  0.0533])"
2011,names,official_name,,"The official name of the feature, or the name as used by governments and other official organizations. Usually tagged when object has unwieldy and typically not used name that was officially assigned.","tensor([-0.0053, -0.0187,  0.0062,  ...,  0.0291, -0.0126,  0.0459])"
2026,names,old_name,,Old / previous / historic name for an element.,"tensor([-0.0034, -0.0215, -0.0136,  ...,  0.0101, -0.0225,  0.0719])"
2028,references,old_ref,,Historical reference,"tensor([-0.0205, -0.0059, -0.0147,  ...,  0.0170, -0.0389,  0.0769])"
2031,restrictions,oneway,,"Linear features that users can only go one direction in. Used in highways, zip lines, and other features.","tensor([ 0.0436, -0.0291,  0.0007,  ...,  0.0134, -0.0471,  0.0525])"
2050,,opening_hours:*,,,"tensor([ 0.0112, -0.0069, -0.0287,  ...,  0.0102, -0.0211,  0.0427])"
2068,properties,operator,,"Сompany, corporation, person or any other entity who is directly in charge of the current operation of a map object","tensor([-0.0164, -0.0125, -0.0116,  ...,  0.0079,  0.0108,  0.0568])"
2100,properties,outdoor_seating,,To indicate if a restaurant or similar feature offers outdoor seating.,"tensor([ 0.0282, -0.0002, -0.0013,  ...,  0.0210, -0.0106,  0.0388])"
2107,properties,owner,,The name of the owner of a given map feature,"tensor([ 0.0124, -0.0033, -0.0068,  ...,  0.0151,  0.0003,  0.0589])"
2118,,parking:*,,,"tensor([ 0.0072, -0.0129, -0.0216,  ...,  0.0223, -0.0394,  0.0685])"
2119,parking,parking:both,,Parking along both sides of a street.,"tensor([ 0.0414,  0.0228, -0.0130,  ...,  0.0181, -0.0209,  0.0879])"
2128,,parking:condition,,,"tensor([-0.0092,  0.0012, -0.0050,  ...,  0.0139, -0.0422,  0.0654])"
2132,,parking:lane,,,"tensor([ 0.0103, -0.0279, -0.0224,  ...,  0.0263, -0.0556,  0.0580])"
2133,,parking:lane:left,,,"tensor([ 0.0077, -0.0332, -0.0241,  ...,  0.0201, -0.0468,  0.0720])"
2135,,parking:lane:right,,,"tensor([ 0.0066, -0.0309, -0.0277,  ...,  0.0252, -0.0488,  0.0674])"
2137,parking,parking:left,,Parking along the left side of a street.,"tensor([ 0.0290,  0.0010, -0.0193,  ...,  0.0098, -0.0384,  0.0804])"
2143,parking,parking:right,,Parking along the right side of a street.,"tensor([ 0.0202,  0.0031, -0.0203,  ...,  0.0138, -0.0380,  0.0805])"
2164,,payment:*,,,"tensor([ 0.0151, -0.0362, -0.0163,  ...,  0.0159, -0.0409,  0.0723])"
2183,annotations,phone,,"A telephone number associated with the object. Use +CC XXX XXX XXX format, where CC is a country code.","tensor([ 0.0132,  0.0010,  0.0005,  ..., -0.0137, -0.0146,  0.0394])"
2195,,piste:*,,,"tensor([ 0.0318, -0.0384, -0.0286,  ...,  0.0157, -0.0559,  0.0456])"
2210,properties,placement,,Used to specify the placement of the OSM-way relative to the road it represents.,"tensor([ 0.0329, -0.0306, -0.0162,  ...,  0.0097, -0.0361,  0.0679])"
2211,,planned:*,,,"tensor([ 0.0155,  0.0029, -0.0268,  ..., -0.0058, -0.0321,  0.0448])"
2212,landuse,plant,,The generic type of plant that is grown.,"tensor([-0.0016,  0.0077, -0.0172,  ...,  0.0147, -0.0674,  0.0409])"
2215,,plant:output:*,,,"tensor([-0.0088, -0.0380, -0.0350,  ...,  0.0068, -0.0353,  0.0387])"
2232,,playground:*,,,"tensor([ 0.0347, -0.0210, -0.0236,  ...,  0.0320, -0.0322,  0.0608])"
2254,properties,post_office,,"Used to specify the type of post office or to mark postal services in other shops, offices or amenities.","tensor([ 0.0031, -0.0138, -0.0199,  ...,  0.0101, -0.0276,  0.0567])"
2280,,proposed:*,,,"tensor([ 0.0402, -0.0247, -0.0096,  ...,  0.0081, -0.0390,  0.0352])"
2289,,provided_for:*,,,"tensor([ 0.0145,  0.0031, -0.0314,  ...,  0.0576, -0.0342,  0.0435])"
2291,restrictions,psv,,Access permission for Public Service Vehicles: buses and sometimes taxis or other vehicles.,"tensor([ 0.0274, -0.0330, -0.0232,  ...,  0.0238, -0.0585,  0.0298])"
2292,restrictions,psv:lanes,,For describing the legal accessibility by Public Service Vehicles per lane,"tensor([ 0.0365, -0.0363, -0.0460,  ..., -0.0066, -0.0487,  0.0163])"
2296,public transport,public_transport,,Public transport infrastructure key.,"tensor([ 0.0423, -0.0140, -0.0675,  ...,  0.0136, -0.0791,  0.0587])"
2298,,pump,,Presence and technology of a pump on a source of water,"tensor([-0.0061, -0.0161,  0.0129,  ..., -0.0306, -0.0541,  0.0826])"
2309,railways,railway,,"The railway key is used to mark all kinds of railways, railway infrastructure or other transports using rails.","tensor([ 0.0530, -0.0252, -0.0277,  ...,  0.0174, -0.0720,  0.0515])"
2318,railways,railway:position,,The location of railway objects,"tensor([ 0.0282, -0.0183, -0.0420,  ...,  0.0217, -0.0664,  0.0572])"
2325,,railway:signal:main,,main signal,"tensor([ 0.0096, -0.0363, -0.0460,  ...,  0.0186, -0.0734,  0.0518])"
2338,highways,ramp,,"Whether a ramp for bicycles, strollers, wheelchairs and/or luggage is built into a stairway","tensor([-0.0126,  0.0330, -0.0174,  ...,  0.0222, -0.0618,  0.0469])"
2351,,razed:*,,,"tensor([ 0.0289, -0.0158, -0.0275,  ...,  0.0392, -0.0246,  0.0267])"
2361,,recycling:*,,,"tensor([ 0.0296,  0.0186, -0.0057,  ...,  0.0080, -0.0433,  0.0499])"
2377,restrictions,red_turn:right,,Whether turning right through a red traffic signal is allowed for all traffic.,"tensor([ 0.0170, -0.0308, -0.0127,  ...,  0.0298, -0.0745,  0.0341])"
2379,restrictions,red_turn:straight,,Whether going straight ahead through a red traffic signal is allowed for all traffic,"tensor([ 0.0202, -0.0363, -0.0107,  ...,  0.0209, -0.0554,  0.0229])"
2383,references,ref,,"Used for reference numbers or codes. Common for roads, highway exits, routes, entrances to big buildings etc.","tensor([ 0.0321,  0.0130, -0.0375,  ...,  0.0213, -0.0295,  0.0398])"
2630,,removed:*,,,"tensor([ 0.0436, -0.0264, -0.0446,  ...,  0.0396, -0.0375,  0.0514])"
2638,properties,reservation,,Whether a reservation is applicable before a visit.,"tensor([-0.0234,  0.0008, -0.0181,  ...,  0.0348, -0.0436,  0.0234])"
2645,restrictions,restriction,,Type of a turn restriction at a junction or specification of parking restrictions,"tensor([ 0.0381, -0.0134, -0.0022,  ...,  0.0107, -0.0616,  0.0600])"
2649,,reusable_packaging,,The prefix for several reusable_packaging:* keys to describe whether a place accepts reusable containers from their customers and/or proposes some. Should not itself be used as a key.,"tensor([ 0.0331,  0.0148, -0.0185,  ...,  0.0159, -0.0246,  0.0347])"
2667,properties,roof,,Indicates whether the feature has a roof or not.,"tensor([ 1.6937e-02,  1.8091e-05, -1.4731e-02,  ...,  2.4285e-03,
        -1.4391e-02,  1.7667e-02])"
2686,public transport,route_ref,,Route reference (number/code) cognizable on public transport stop signs,"tensor([ 0.0318, -0.0096, -0.0393,  ..., -0.0091, -0.0541,  0.0445])"
2701,,ruined:*,,,"tensor([ 0.0139, -0.0101, -0.0244,  ...,  0.0092, -0.0358,  0.0311])"
2703,,ruins:*,,,"tensor([ 0.0237, -0.0016, -0.0260,  ..., -0.0010, -0.0413,  0.0233])"
2724,,school:*,,,"tensor([ 0.0531, -0.0125, -0.0012,  ...,  0.0132, -0.0258,  0.0287])"
2743,,seamark:*,,,"tensor([ 0.0043, -0.0180, -0.0100,  ..., -0.0048, -0.0070,  0.0567])"
2796,marine navigation,seamark:fog_signal,,,"tensor([-0.0087, -0.0259,  0.0006,  ..., -0.0172, -0.0246,  0.0431])"
2884,,seats,,An estimate of the number of people that can comfortably sit on a bench.,"tensor([ 0.0526,  0.0057, -0.0079,  ...,  0.0112, -0.0422,  0.0414])"
2893,,sells,,"Indicates that feature sells some goods, may include ones not implied by main tag, such as key:shop.","tensor([ 0.0500, -0.0206, -0.0192,  ..., -0.0035, -0.0482,  0.0568])"
